customer_id,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,age_group,monthly_spend_category,tenure_group,high_value_customer,cltv_segment,churn_risk,payment_mode,internet_category,service_count,engagement_score,customer_status,location,avg_revenue_per_month,coordinates,churn_reason_category,loyalty_level,customer_segment
8773-HHUOZ,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds,Adult,Medium,12-24 Months,No,Bronze,High,Offline,DSL,3,52.019999999999996,Inactive,"Los Angeles, California",64.3,"(34.078821, -118.177576)",Churned,Regular,At Risk
6047-YHPVI,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,66,2454,Competitor offered higher download speeds,Adult,Medium,0-12 Months,No,Bronze,Medium,Online,Fiber,1,31.54,Inactive,"Los Angeles, California",63.379999999999995,"(34.110845, -118.259595)",Churned,New,Standard
5380-WJKOV,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,65,2941,Competitor offered higher download speeds,Adult,High,24-48 Months,No,Bronze,Medium,Online,Fiber,6,73.01,Inactive,"Los Angeles, California",104.38970588235294,"(34.137412, -118.207607)",Churned,Regular,Standard
8168-UQWWF,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674,Competitor offered more data,Adult,High,0-12 Months,Yes,Platinum,Medium,Online,Fiber,5,86.14,Inactive,"Los Angeles, California",100.4909090909091,"(34.11572, -118.192754)",Churned,New,VIP
7760-OYPDY,1,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,90,5586,Competitor offered more data,Adult,High,0-12 Months,Yes,Platinum,High,Online,Fiber,2,66.66,Inactive,"Los Angeles, California",72.075,"(33.987945, -118.370442)",Churned,New,VIP At Risk
9420-LOJKX,1,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,82,2966,Competitor offered more data,Adult,High,12-24 Months,No,Bronze,High,Online,Fiber,5,60.66,Inactive,"Los Angeles, California",95.09333333333333,"(33.92128, -118.274186)",Churned,Regular,At Risk
7495-OOKFY,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,69,5302,Competitor made better offer,Senior Citizen,High,0-12 Months,Yes,Gold,Medium,Online,Fiber,3,71.22,Inactive,"Los Angeles, California",79.1625,"(34.044271, -118.185237)",Churned,New,VIP
1658-BYGOY,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,81,3179,Competitor made better offer,Senior Citizen,High,12-24 Months,No,Bronze,High,Online,Fiber,4,58.989999999999995,Inactive,"Los Angeles, California",97.36388888888888,"(34.108833, -118.229715)",Churned,Regular,At Risk
5698-BQJOH,1,United States,California,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,96,5571,Price too high,Adult,High,0-12 Months,Yes,Platinum,High,Online,Fiber,4,79.31,Inactive,"Beverly Hills, California",95.25,"(34.063947, -118.383001)",Churned,New,VIP At Risk
5919-TMRGD,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,87,2483,Product dissatisfaction,Adult,High,0-12 Months,No,Bronze,High,Online,Fiber,2,35.23,Inactive,"Huntington Park, California",79.35,"(33.97803, -118.217141)",Churned,New,At Risk
9191-MYQKX,1,United States,California,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,70,3457,Service dissatisfaction,Adult,High,0-12 Months,No,Bronze,Medium,Online,Fiber,2,47.370000000000005,Inactive,"Lynwood, California",70.98571428571428,"(33.923573, -118.200669)",Churned,New,Standard
8637-XJIVR,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,86,5806,Lack of self-service on Website,Adult,High,0-12 Months,Yes,Platinum,High,Online,Fiber,3,77.86,Inactive,"Marina Del Rey, California",77.27916666666667,"(33.977468, -118.445475)",Churned,New,VIP At Risk
0278-YXOOG,1,United States,California,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,66,2604,Network reliability,Adult,Low,0-12 Months,No,Bronze,Medium,Offline,No Internet,1,33.04,Inactive,"Inglewood, California",22.77,"(33.956445, -118.358634)",Churned,New,Standard
4598-XLKNJ,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,88,5337,Limited range of services,Senior Citizen,High,24-48 Months,Yes,Gold,High,Online,Fiber,5,88.37,Inactive,"Inglewood, California",100.58,"(33.936291, -118.332639)",Churned,Regular,VIP At Risk
3192-NQECA,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed,Adult,High,48-72 Months,Yes,Gold,High,Online,Fiber,7,112.54,Inactive,"Santa Monica, California",111.93897058823529,"(34.031529, -118.491156)",Churned,Highly Loyal,VIP At Risk
0486-HECZI,1,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,75,5154,Long distance charges,Adult,High,48-72 Months,Yes,Gold,High,Online,Fiber,5,98.53999999999999,Inactive,"Torrance, California",95.25272727272727,"(33.867257, -118.330794)",Churned,Loyal,VIP At Risk
4846-WHAFZ,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,67,2793,Extra data charges,Senior Citizen,High,24-48 Months,No,Bronze,Medium,Online,Fiber,2,52.730000000000004,Inactive,"Whittier, California",77.51756756756757,"(33.972119, -118.020188)",Churned,Loyal,Standard
5299-RULOA,1,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,87,5998,Price too high,Adult,High,0-12 Months,Yes,Platinum,High,Online,Fiber,5,88.97999999999999,Inactive,"Whittier, California",106.465,"(33.976678, -118.065875)",Churned,New,VIP At Risk
0404-SWRVG,1,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,Adult,High,0-12 Months,No,Silver,High,Online,Fiber,2,55.349999999999994,Inactive,"La Habra, California",76.51666666666667,"(33.940619, -117.9513)",Churned,New,At Risk
4412-YLTKF,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,Senior Citizen,High,24-48 Months,Yes,Gold,High,Online,Fiber,3,72.18,Inactive,"Pico Rivera, California",79.0925925925926,"(33.989524, -118.089299)",Churned,Regular,VIP At Risk
6207-WIOLX,1,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,Adult,Medium,24-48 Months,No,Silver,High,Online,DSL,5,76.9,Inactive,"Avalon, California",60.106,"(33.391181, -118.421305)",Churned,Regular,At Risk
3091-FYHKI,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,Adult,Medium,0-12 Months,No,Bronze,High,Online,DSL,1,28.410000000000004,Inactive,"Harbor City, California",35.45,"(33.798266, -118.300237)",Churned,New,At Risk
2372-HWUHI,1,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,76,2570,Don't know,Adult,Medium,0-12 Months,No,Bronze,High,Online,DSL,1,31.5,Inactive,"Lakewood, California",40.625,"(33.840524, -118.148403)",Churned,New,At Risk
0390-DCFDQ,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,76,3964,Don't know,Senior Citizen,High,0-12 Months,No,Silver,High,Offline,Fiber,1,45.04,Inactive,"Los Alamitos, California",70.45,"(33.79499, -118.065591)",Churned,New,At Risk
4080-OGPJL,1,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,66,2662,Don't know,Adult,High,0-12 Months,No,Bronze,Medium,Online,DSL,5,54.82,Inactive,"San Pedro, California",70.45625,"(33.736387, -118.284363)",Churned,New,Standard
2135-RXIHG,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,Adult,Medium,0-12 Months,No,Bronze,High,Online,DSL,1,31.4,Inactive,"Carson, California",45.65,"(33.822295, -118.26411)",Churned,New,At Risk
3874-EQOEP,1,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,94,2786,Poor expertise of phone support,Adult,High,0-12 Months,No,Bronze,High,Offline,Fiber,4,50.66,Inactive,"Long Beach, California",93.64285714285714,"(33.783047, -118.1486)",Churned,New,At Risk
0867-MKZVY,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,Adult,High,12-24 Months,Yes,Platinum,High,Online,Fiber,3,80.19,Inactive,"Altadena, California",79.61749999999999,"(34.196837, -118.142236)",Churned,Regular,VIP At Risk
3376-BMGFE,1,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes,1,75,4287,Product dissatisfaction,Adult,High,0-12 Months,No,Silver,High,Online,Fiber,1,49.47,Inactive,"Monrovia, California",68.25,"(34.1528, -118.000482)",Churned,New,At Risk
3445-HXXGF,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,Senior Citizen,Medium,48-72 Months,Yes,Platinum,High,Online,DSL,3,92.64,Inactive,"Sierra Madre, California",45.710344827586205,"(34.168686, -118.057505)",Churned,Loyal,VIP At Risk
1875-QIVME,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,Adult,High,0-12 Months,Yes,Gold,High,Online,Fiber,6,77.7,Inactive,"Tujunga, California",121.4,"(34.296574, -118.244839)",Churned,New,VIP At Risk
0691-JVSYA,1,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,Network reliability,Adult,High,48-72 Months,No,Silver,High,Online,Fiber,4,84.48,Inactive,"Pasadena, California",94.3433962264151,"(34.167465, -118.165327)",Churned,Loyal,At Risk
2656-FMOKZ,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,99,5717,Limited range of services,Senior Citizen,High,12-24 Months,Yes,Platinum,High,Offline,Fiber,2,73.17,Inactive,"Pasadena, California",76.38000000000001,"(34.139402, -118.128658)",Churned,Regular,VIP At Risk
2070-FNEXE,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed,Senior Citizen,High,0-12 Months,No,Silver,High,Online,Fiber,2,56.989999999999995,Inactive,"Pasadena, California",71.94285714285715,"(34.159007, -118.087353)",Churned,New,At Risk
6317-YPKDH,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,Long distance charges,Adult,Low,0-12 Months,Yes,Gold,High,Online,DSL,1,50.74,Inactive,"Glendale, California",29.95,"(34.167926, -118.267539)",Churned,New,VIP At Risk
9367-WXLCH,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,Extra data charges,Adult,High,0-12 Months,No,Bronze,High,Online,Fiber,3,39.72,Inactive,"Glendale, California",82.83125,"(34.136306, -118.26036)",Churned,New,At Risk
1918-ZBFQJ,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,73,5142,Price too high,Adult,High,12-24 Months,Yes,Gold,High,Online,Fiber,3,71.62,Inactive,"Glendale, California",85.51153846153846,"(34.162515, -118.203869)",Churned,Regular,VIP At Risk
1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,Adult,Low,0-12 Months,Yes,Gold,High,Online,DSL,0,48.91,Inactive,"Glendale, California",24.8,"(34.182378, -118.262922)",Churned,New,VIP At Risk
2472-OVKUP,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,Yes,1,94,2283,Service dissatisfaction,Adult,High,0-12 Months,No,Bronze,High,Online,Fiber,4,45.23,Inactive,"Canoga Park, California",88.5,"(34.224377, -118.632656)",Churned,New,At Risk
1285-OKIPP,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website,Adult,High,0-12 Months,No,Bronze,High,Online,Fiber,2,44.339999999999996,Inactive,"Mission Hills, California",79.9,"(34.266389, -118.459744)",Churned,New,At Risk
7825-ECJRF,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,71,3764,Network reliability,Adult,High,12-24 Months,No,Silver,Medium,Online,Fiber,6,75.24000000000001,Inactive,"Santa Clarita, California",101.81315789473685,"(34.502432, -118.41459)",Churned,Regular,Standard
7841-TZDMQ,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,1,76,2667,Don't know,Adult,Medium,0-12 Months,No,Bronze,High,Online,DSL,1,32.47,Inactive,"Sun Valley, California",42.25,"(34.231053, -118.338307)",Churned,New,At Risk
9408-SSNVZ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,67,2227,Don't know,Adult,High,0-12 Months,No,Bronze,Medium,Online,Fiber,1,28.869999999999997,Inactive,"Stevenson Ranch, California",67.0875,"(34.364153, -118.615583)",Churned,New,Standard
0742-MOABM,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,82,3394,Don't know,Adult,Medium,0-12 Months,No,Bronze,High,Offline,DSL,2,45.54,Inactive,"Panorama City, California",44.8375,"(34.223768, -118.445461)",Churned,New,At Risk
2232-DMLXU,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,81,3638,Poor expertise of online support,Adult,Medium,0-12 Months,No,Silver,High,Offline,DSL,2,46.78,Inactive,"Van Nuys, California",55.2,"(34.17847, -118.459472)",Churned,New,At Risk
8937-RDTHP,1,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support,Adult,High,0-12 Months,No,Bronze,Medium,Offline,Fiber,3,40.24,Inactive,"Burbank, California",84.6,"(34.213049, -118.317651)",Churned,New,Standard
1251-KRREG,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,81,2556,Price too high,Adult,Medium,0-12 Months,No,Bronze,High,Offline,DSL,3,41.36,Inactive,"North Hollywood, California",57.05,"(34.1692, -118.372498)",Churned,New,At Risk
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction,Senior Citizen,High,0-12 Months,Yes,Platinum,High,Online,Fiber,4,84.19999999999999,Inactive,"North Hollywood, California",101.84545454545454,"(34.207295, -118.400022)",Churned,New,VIP At Risk
9947-OTFQU,1,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,86,4616,Service dissatisfaction,Senior Citizen,High,12-24 Months,Yes,Gold,High,Online,Fiber,2,62.16,Inactive,"Covina, California",71.61999999999999,"(34.097345, -117.906736)",Churned,Regular,VIP At Risk
0322-YINQP,1,United States,California,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website,Adult,Medium,0-12 Months,Yes,Platinum,High,Offline,DSL,2,67.27,Inactive,"Covina, California",48.55,"(34.084747, -117.886844)",Churned,New,VIP At Risk
